Year,FTAs,0-14,15-24,25-34,35-44,45-54,55-64,65 and Above,Not Reported
2001,2537282,7.0,10.8,20.1,21.1,19.4,11.9,6.7,3.0
2002,2384364,9.2,10.0,19.4,21.6,19.4,11.5,7.7,1.2
2003,2762214,7.2,10.0,19.5,21.6,19.4,11.5,7.7,3.1
2004,3457477,8.5,9.8,18.8,21.3,19.4,12.8,8.2,0.2
2005,3918610,8.6,9.6,18.8,21.3,19.5,13,8.7,0.5
2006,4447167,9.6,8.7,18.3,21.4,19.6,13.5,7.0,1.9
2007,5081504,9.2,8.6,18,21,19.6,13.9,7.5,2.2
2008,5282603,7.5,7.1,15.2,17.1,16.1,11.9,6.5,18.6
2009,5167699,9.1,7.9,17.9,20.3,19.6,14.7,8.5,2.0
2010,5775692,10,8.3,17.4,21.1,19.9,13.8,9.5,0.0
2011,6309222,10.5,7.9,16.6,21.2,19.7,13.7,10.5,0.0
2012,6577745,11.0,8.0,16.5,21.0,19.8,13.9,9.9,0.0
2013,6967601,9.5,8.7,19.1,21.0,20.0,14.0,7.7,0.0
2014,7697099,9.2,8.5,18.9,21.0,20.1,14.0,8.3,0.0
2015,8027133,9.4,8.5,19.2,21.2,20.0,13.8,7.9,0.0
2016,8804411,9.5,8.5,19.2,21.1,19.9,13.8,8.1,0.0
2017,10035803,9.4,8.5,19.1,21.1,19.9,13.8,8.2,0.0
2018,10557976,9.3,8.4,18.6,21,19.8,14.2,8.7,0.0
2019,10930355,9.2,8.3,18.6,21.3,19.8,14.1,8.8,0.0
2020,2744766,7.7,7.7,18.4,20.2,19.7,15.6,10.7,0.0
2021,1527114,13.6,8.4,15.8,21.0,21.8,13.0,6.4,0.0
2022,6437467,13.6,8.3,15.7,21.3,20.4,12.9,7.8,0.0
2023,9502928,11.0,8.1,16.6,21.2,20.1,14.0,9.0,0.0
