Year,Arrivals,Male,Female,OthersOrNotReported
2001,2537282,41.1,24.5,34.4
2002,2384364,50.2,27.5,22.3
2003,2762214,55.7,32.1,12.2
2004,3457477,54.9,33.9,11.2
2005,3918610,52.5,33.1,14.4
2006,4447167,57.1,36.2,6.7
2007,5081504,59.9,39.6,0.5
2008,5282603,60.5,39.4,0.1
2009,5167699,59.6,40.4,0.0
2010,5775692,59.3,40.7,0.0
2011,6309222,59.4,40.6,0.0
2012,6577745,58.7,41.3,0.0
2013,6967901,58.8,41.2,0.0
2014,7697099,59.0,41.0,0.0
2015,8027133,59.3,40.7,0.0
2016,8804411,59.4,40.6,0.0
2017,10035803,59.4,40.59,0.01
2018,10557976,58.6,41.4,0.01
2019,10930355,58.9,41.1,0.0
2020,2744766,57.8,42.2,0.0
2021,1527114,59.7,40.3,0.0
2022,6437467,58.0,42.0,0.01
2023,9502928,57.7,42.3,0.01
