Year,No. of Centrally Protected Ticketed ASI Monuments,Domestic Visitors,Foreign Visitors,Total Visitors,Annual Growth Rate Domestic (%),Annual Growth Rate Foreign (%),Annual Growth Rate Total (%)
2002,126,17333055,837012,18170067,NA,NA,-10.8
2003,126,19551820,1216615,20768435,12.80,45.4,14.3
2004,116,20356940,1788753,22145693,4.1,47.0,6.6
2005,116,21035864,2122436,23158300,3.3,18.7,4.6
2006,116,23815252,2250502,26065754,13.2,6.0,12.6
2007,116,23450419,2614254,26064673,-1.5,16.2,0.0
2008,117,28786608,2679763,31466371,22.8,2.5,20.7
2009,119,30804103,2195382,32999485,7.0,-18.1,4.9
2010,116,35770242,2998175,38768417,16.1,36.6,17.5
2011,116,40534481,2948065,43482546,13.3,-1.7,12.0
2012,116,43259075,3064778,46323853,6.7,4.0,6.5
2013,116,43019998,2995852,46015850,-0.6,-2.2,-0.7
2014,116,45425859,2792272,48218131,5.6,-6.8,4.8
2015,116,50988730,2620228,53608958,12.2,-6.2,11.2
2016,116,40167938,2379389,42547327,-21.2,-9.2,-20.6
2016-17,116,45076706,2982601,48059307,12.2,25.4,13.0
2017-18,116,48394768,3397673,51792441,7.4,13.9,7.8
2018-19,116,47316029,3576837,50892866,-2.2,5.3,-1.7
2019-20,116,43607075,2756561,46363636,-7.8,-22.9,-8.9
2020-21,116,13153076,415859,13568935,-69.8,-84.9,-70.7
2021-22,144,26046891,116114,26163005,98.0,-72.0,92.8
2022-23,144,47901021,1445363,49346384,83.9,1144.7,88.6
2023-24,145,53090007,2314641,55404648,10.8,60.1,12.2
